Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"LogisticRegressionLearner(C=0.05, class_weight='balanced', random_state=0, max_iter=1000)",0.8060110294117647,0.8076891705012239,0.749654479094552,0.8132511380390067,0.9699184721764113,0.8060110294117647
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=1000)",0.8059926470588236,0.8077373445152871,0.7496075682516425,0.8132680783137947,0.9700025849258163,0.8059926470588236
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=1000)",0.8058455882352941,0.8076245413618142,0.7494445252967846,0.8131862644329816,0.9700318235193406,0.8058455882352941
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=1000)",0.8058639705882353,0.8076853793141627,0.7494735917932986,0.8132605952370797,0.9700313479051209,0.8058639705882353
"LogisticRegressionLearner(penalty='l1', C=0.05, class_weight='balanced', random_state=0, max_iter=1000)",0.8067095588235295,0.8084165954883328,0.7505094581934135,0.8139565867582023,0.9701387313695341,0.8067095588235295
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=1000)",0.8059007352941177,0.8076690478187151,0.7495007102735908,0.8132467185859809,0.9700990649673049,0.8059007352941177
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=1000)",0.8057720588235294,0.8075699808256211,0.7493425008941589,0.8131231057663716,0.9700610867971988,0.8057720588235294
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=1000)",0.8059375,0.8077440695340695,0.7495635857811904,0.8132762104806806,0.9700295366921198,0.8059375
"LogisticRegressionLearner(C=0.05, class_weight='balanced', random_state=0, max_iter=500)",0.8060110294117647,0.8076891705012239,0.749654479094552,0.8132511380390067,0.9699184721764113,0.8060110294117647
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=500)",0.8059926470588236,0.8077373445152871,0.7496075682516425,0.8132680783137947,0.9700025849258163,0.8059926470588236
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=500)",0.8058455882352941,0.8076245413618142,0.7494445252967846,0.8131862644329816,0.9700318235193406,0.8058455882352941
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=500)",0.8058639705882353,0.8076853793141627,0.7494735917932986,0.8132605952370797,0.9700313479051209,0.8058639705882353
"LogisticRegressionLearner(penalty='l1', C=0.05, class_weight='balanced', random_state=0, max_iter=500)",0.806672794117647,0.8083889061593824,0.7504700179097057,0.813947001177497,0.970132120816753,0.806672794117647
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=500)",0.8059742647058824,0.8077450464927918,0.7495888318446247,0.8133075445644975,0.9701000783473706,0.8059742647058824
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=500)",0.8058823529411765,0.8076779885472822,0.7494851234628603,0.8132299397431254,0.9700545599948363,0.8058823529411765
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=500)",0.8057536764705883,0.807590125433252,0.749330108876777,0.8131793064831228,0.9700246223057121,0.8057536764705883
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.8466176470588235,0.8452095755533519,0.7994296454693819,0.8443992512410577,0.9756750686626485,0.8466176470588235
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, random_state=0, class_weight='balanced')",0.8414522058823529,0.8415952180330024,0.7940436751478759,0.8456991499612727,0.9748847150803,0.8414522058823529
"RandomForestLearner(n_estimators=100, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8410661764705882,0.8393486444396409,0.7921040312150738,0.8383302208307912,0.9733661756309683,0.8410661764705882
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8300367647058824,0.8299240550485963,0.7793904968400709,0.8339970167031937,0.9717099139076728,0.8300367647058824
"RandomForestLearner(n_estimators=200, min_samples_split=5, random_state=0, class_weight='balanced')",0.8478308823529411,0.8464867558224712,0.801007159779315,0.845872591940923,0.9761457122948776,0.8478308823529411
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=5, random_state=0, class_weight='balanced')",0.8422794117647059,0.8424039687311328,0.7951129185762047,0.8467222186566316,0.9751348705281295,0.8422794117647059
"RandomForestLearner(n_estimators=200, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8424080882352941,0.840677105178727,0.793856797292427,0.8397421847164475,0.973751423589616,0.8424080882352941
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8315257352941177,0.8314497096223902,0.781259043905869,0.835470298282067,0.9720096103728818,0.8315257352941177
"RandomForestLearner(n_estimators=100, min_samples_split=10, random_state=0, class_weight='balanced')",0.8455514705882353,0.8452143823556152,0.7984998997203633,0.8459262694427143,0.9756968587584136,0.8455514705882353
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=10, random_state=0, class_weight='balanced')",0.8412316176470588,0.8416942324372465,0.7939283110814638,0.8462973883733635,0.9747522258851267,0.8412316176470588
"RandomForestLearner(n_estimators=100, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.8386397058823529,0.8381544994804745,0.789502497827873,0.8386652482074762,0.9729683380008353,0.8386397058823529
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.8299080882352942,0.8302404083061491,0.7794911772159258,0.8351173976172162,0.9717002195763186,0.8299080882352942
"RandomForestLearner(n_estimators=200, min_samples_split=10, random_state=0, class_weight='balanced')",0.8467830882352941,0.8464893662314557,0.8001267479557932,0.8473614205761246,0.9759413738359433,0.8467830882352941
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=10, random_state=0, class_weight='balanced')",0.840735294117647,0.8411643620387644,0.7933090466069019,0.8461512117924241,0.9749546048046603,0.840735294117647
"RandomForestLearner(n_estimators=200, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.838952205882353,0.8384608026222992,0.7899558672113397,0.839283545435725,0.9732001750281487,0.838952205882353
"RandomForestLearner(n_estimators=200, max_depth=15, min_samples_split=10, max_features='log2', random_state=0, class_weight='balanced')",0.8301470588235295,0.83049254130718,0.7797660834715652,0.8355728843281951,0.9717340238900345,0.8301470588235295
"TreeLearner(min_samples_leaf=5, min_samples_split=5)",0.8191911764705883,0.8177008333922082,0.7634487782829465,0.8164475972657743,0.9123547293448827,0.8191911764705883
"TreeLearner(min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8217463235294118,0.8195730340891204,0.7665293804235478,0.8179983488147611,0.9201930059605754,0.8217463235294118
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=5)",0.8341544117647058,0.8317090617265247,0.7827544761642907,0.830346203991434,0.9678734780362606,0.8341544117647058
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8308272058823529,0.8281123181506691,0.7782134155979974,0.8266356223570706,0.9642873752517238,0.8308272058823529
"TreeLearner(max_depth=20, min_samples_leaf=5, min_samples_split=5)",0.8282169117647059,0.8266410990828243,0.7753457763813397,0.8253709748414296,0.9250670996012027,0.8282169117647059
"TreeLearner(max_depth=20, min_samples_leaf=5, min_samples_split=5, sufficient_majority=0.9)",0.8282904411764705,0.8261463070186291,0.7751860771607013,0.8246717841211013,0.9305763610451562,0.8282904411764705
"TreeLearner(min_samples_leaf=5, min_samples_split=10)",0.8191911764705883,0.8177008333922082,0.7634487782829465,0.8164475972657743,0.9123547293448827,0.8191911764705883
"TreeLearner(min_samples_leaf=5, min_samples_split=10, sufficient_majority=0.9)",0.8217463235294118,0.8195730340891204,0.7665293804235478,0.8179983488147611,0.9201930059605754,0.8217463235294118
"TreeLearner(max_depth=10, min_samples_leaf=5, min_samples_split=10)",0.8341544117647058,0.8317090617265247,0.7827544761642907,0.830346203991434,0.9678734780362606,0.8341544117647058
