Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"LogisticRegressionLearner(C=0.05, class_weight='balanced', random_state=0, max_iter=1000)",0.8097058823529412,0.8115574573306701,0.7542098684726213,0.8169174691339586,0.9702205092454256,0.8097058823529412
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=1000)",0.8102205882352941,0.8121413159238912,0.754840689029705,0.8174563214593332,0.9703006416459864,0.8102205882352941
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=1000)",0.8102941176470588,0.8122681065477803,0.7549585872868826,0.8176534288947217,0.9703336058107656,0.8102941176470588
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=1000)",0.8095588235294118,0.8115746667688496,0.7540131011261404,0.8169721060547326,0.9703330627554194,0.8095588235294118
"LogisticRegressionLearner(penalty='l1', C=0.05, class_weight='balanced', random_state=0, max_iter=1000)",0.8100735294117647,0.8120820093967653,0.7547251184921611,0.817652833050136,0.9703525563265468,0.8100735294117647
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=1000)",0.8106617647058824,0.8126431173897704,0.7554637152608299,0.8180712034022323,0.9703572604553247,0.8106617647058824
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=1000)",0.8097794117647059,0.8117729688429363,0.754285732109953,0.8171578336350824,0.9703483458844472,0.8097794117647059
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=1000)",0.8096323529411765,0.8116251888052356,0.7541066404702791,0.8170009834744143,0.9703416881669568,0.8096323529411765
"LogisticRegressionLearner(C=0.05, class_weight='balanced', random_state=0, max_iter=500)",0.8097058823529412,0.8115574573306701,0.7542098684726213,0.8169174691339586,0.9702205092454256,0.8097058823529412
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=500)",0.8102205882352941,0.8121413159238912,0.754840689029705,0.8174563214593332,0.9703006416459864,0.8102205882352941
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=500)",0.8102941176470588,0.8122681065477803,0.7549585872868826,0.8176534288947217,0.9703336058107656,0.8102941176470588
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=500)",0.8095588235294118,0.8115746667688496,0.7540131011261404,0.8169721060547326,0.9703330627554194,0.8095588235294118
