Learner,Recall(weighted),F1(weighted),MCC,Precision(weighted),AUC,CA
"LogisticRegressionLearner(penalty=None, C=0.3, class_weight='balanced', random_state=0, max_iter=5000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=0.1, class_weight='balanced', random_state=0, max_iter=5000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, class_weight='balanced', random_state=0, max_iter=5000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=3.0, class_weight='balanced', random_state=0, max_iter=5000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=5.0, class_weight='balanced', random_state=0, max_iter=5000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=5000)",0.8102941176470588,0.8122681065477803,0.7549585872868826,0.8176534288947217,0.9703336058107656,0.8102941176470588
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=5000)",0.8102205882352941,0.8121413159238912,0.754840689029705,0.8174563214593332,0.9703006416459864,0.8102205882352941
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=5000)",0.8095588235294118,0.8115746667688496,0.7540131011261404,0.8169721060547326,0.9703330627554194,0.8095588235294118
"LogisticRegressionLearner(C=3.0, class_weight='balanced', random_state=0, max_iter=5000)",0.8095588235294118,0.8115808693472364,0.7540274941841594,0.8170158647136405,0.9703366525628374,0.8095588235294118
"LogisticRegressionLearner(C=5.0, class_weight='balanced', random_state=0, max_iter=5000)",0.809485294117647,0.8115084220143779,0.7539262164631128,0.8169345936550725,0.9703353407668065,0.809485294117647
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=5000)",0.8097794117647059,0.8117688919271755,0.754302251525142,0.8171842973697261,0.9703399884742498,0.8097794117647059
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=5000)",0.8108088235294117,0.8128019716811123,0.7556670016691234,0.818282717458136,0.9703534096992337,0.8108088235294117
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=5000)",0.8094117647058824,0.8113895621030469,0.7538225020907866,0.8167352118125664,0.9703423370123052,0.8094117647058824
"LogisticRegressionLearner(penalty='l1', C=3.0, class_weight='balanced', random_state=0, max_iter=5000)",0.809485294117647,0.8114732156583995,0.7539211636737287,0.816836146798585,0.9703317086433874,0.809485294117647
"LogisticRegressionLearner(penalty='l1', C=5.0, class_weight='balanced', random_state=0, max_iter=5000)",0.8095588235294118,0.8115496035767624,0.754002250032391,0.8169006103996134,0.970336553825502,0.8095588235294118
"LogisticRegressionLearner(penalty=None, C=0.3, class_weight='balanced', random_state=0, max_iter=2500)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=0.1, class_weight='balanced', random_state=0, max_iter=2500)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, class_weight='balanced', random_state=0, max_iter=2500)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=3.0, class_weight='balanced', random_state=0, max_iter=2500)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=5.0, class_weight='balanced', random_state=0, max_iter=2500)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=2500)",0.8102941176470588,0.8122681065477803,0.7549585872868826,0.8176534288947217,0.9703336058107656,0.8102941176470588
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=2500)",0.8102205882352941,0.8121413159238912,0.754840689029705,0.8174563214593332,0.9703006416459864,0.8102205882352941
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=2500)",0.8095588235294118,0.8115746667688496,0.7540131011261404,0.8169721060547326,0.9703330627554194,0.8095588235294118
"LogisticRegressionLearner(C=3.0, class_weight='balanced', random_state=0, max_iter=2500)",0.8095588235294118,0.8115808693472364,0.7540274941841594,0.8170158647136405,0.9703366525628374,0.8095588235294118
"LogisticRegressionLearner(C=5.0, class_weight='balanced', random_state=0, max_iter=2500)",0.809485294117647,0.8115084220143779,0.7539262164631128,0.8169345936550725,0.9703353407668065,0.809485294117647
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=2500)",0.8095588235294118,0.811580709098645,0.7540140142855815,0.817024499910105,0.9703318567493909,0.8095588235294118
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=2500)",0.8107352941176471,0.8127382189182213,0.7555692998966946,0.8181912543636664,0.9703542348612532,0.8107352941176471
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=2500)",0.809485294117647,0.8114899511787328,0.7539158599771103,0.8168753636944559,0.970333676337434,0.809485294117647
"LogisticRegressionLearner(penalty='l1', C=3.0, class_weight='balanced', random_state=0, max_iter=2500)",0.809485294117647,0.8114716476097128,0.7539059353278559,0.8168107289228129,0.9703303051626877,0.809485294117647
"LogisticRegressionLearner(penalty='l1', C=5.0, class_weight='balanced', random_state=0, max_iter=2500)",0.8097058823529412,0.8117039707871131,0.7541797287817942,0.817055292275419,0.9703320189607281,0.8097058823529412
"LogisticRegressionLearner(penalty=None, C=0.3, class_weight='balanced', random_state=0, max_iter=1000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=0.1, class_weight='balanced', random_state=0, max_iter=1000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, class_weight='balanced', random_state=0, max_iter=1000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=3.0, class_weight='balanced', random_state=0, max_iter=1000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(penalty=None, C=5.0, class_weight='balanced', random_state=0, max_iter=1000)",0.8094117647058824,0.8114232932950548,0.753817825434239,0.8167982338559931,0.9703355805574789,0.8094117647058824
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=1000)",0.8102941176470588,0.8122681065477803,0.7549585872868826,0.8176534288947217,0.9703336058107656,0.8102941176470588
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=1000)",0.8102205882352941,0.8121413159238912,0.754840689029705,0.8174563214593332,0.9703006416459864,0.8102205882352941
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=1000)",0.8095588235294118,0.8115746667688496,0.7540131011261404,0.8169721060547326,0.9703330627554194,0.8095588235294118
"LogisticRegressionLearner(C=3.0, class_weight='balanced', random_state=0, max_iter=1000)",0.8095588235294118,0.8115808693472364,0.7540274941841594,0.8170158647136405,0.9703366525628374,0.8095588235294118
"LogisticRegressionLearner(C=5.0, class_weight='balanced', random_state=0, max_iter=1000)",0.809485294117647,0.8115084220143779,0.7539262164631128,0.8169345936550725,0.9703353407668065,0.809485294117647
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=1000)",0.8097794117647059,0.8117729688429363,0.754285732109953,0.8171578336350824,0.9703483458844472,0.8097794117647059
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=1000)",0.8106617647058824,0.8126431173897704,0.7554637152608299,0.8180712034022323,0.9703572604553247,0.8106617647058824
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=1000)",0.8096323529411765,0.8116251888052356,0.7541066404702791,0.8170009834744143,0.9703416881669568,0.8096323529411765
"LogisticRegressionLearner(penalty='l1', C=3.0, class_weight='balanced', random_state=0, max_iter=1000)",0.8095588235294118,0.8115531389323012,0.7540196507647358,0.8169354687706466,0.9703377598315306,0.8095588235294118
"LogisticRegressionLearner(penalty='l1', C=5.0, class_weight='balanced', random_state=0, max_iter=1000)",0.8094117647058824,0.8114150911301561,0.753831035355921,0.8168097282155058,0.9703374636195232,0.8094117647058824
"RandomForestLearner(n_estimators=50, min_samples_split=5, random_state=0, class_weight='balanced')",0.8471323529411765,0.8458439205890416,0.7999464678542457,0.8450572949648419,0.9746477891130747,0.8471323529411765
"RandomForestLearner(n_estimators=50, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.7760294117647059,0.7759395438883268,0.7137214344264609,0.7955823047953693,0.9570070910897623,0.7760294117647059
"RandomForestLearner(n_estimators=50, max_depth=15, min_samples_split=5, random_state=0, class_weight='balanced')",0.8450735294117647,0.8450709748164581,0.7983609012503153,0.8482532402597999,0.9740618500262246,0.8450735294117647
"RandomForestLearner(n_estimators=50, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8413235294117647,0.8396144865302508,0.7922533846812222,0.8385255588419088,0.972131827799604,0.8413235294117647
"RandomForestLearner(n_estimators=50, max_depth=5, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.7567647058823529,0.7559670343622006,0.6936625249822524,0.7834444117861705,0.9481948332501307,0.7567647058823529
"RandomForestLearner(n_estimators=50, max_depth=15, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8327205882352942,0.8326487925282834,0.782468316619372,0.8367293194870028,0.9707959081216931,0.8327205882352942
"RandomForestLearner(n_estimators=50, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8413235294117647,0.8396144865302508,0.7922533846812222,0.8385255588419088,0.972131827799604,0.8413235294117647
"RandomForestLearner(n_estimators=50, max_depth=5, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.7567647058823529,0.7559670343622006,0.6936625249822524,0.7834444117861705,0.9481948332501307,0.7567647058823529
"RandomForestLearner(n_estimators=50, max_depth=15, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8327205882352942,0.8326487925282834,0.782468316619372,0.8367293194870028,0.9707959081216931,0.8327205882352942
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.8508088235294118,0.8494108758503754,0.8047623261739572,0.8486086190542956,0.9756850036662583,0.8508088235294118
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.7747058823529411,0.7751579203193932,0.7163834490836509,0.803904338984141,0.9561476178461132,0.7747058823529411
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, random_state=0, class_weight='balanced')",0.8459558823529412,0.8460761900683653,0.7996754497143377,0.8499539346446899,0.9747350270754701,0.8459558823529412
"RandomForestLearner(n_estimators=100, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8444117647058823,0.8427755650878489,0.7963284579063218,0.8418616227836575,0.9736775960528086,0.8444117647058823
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.758014705882353,0.7570635659892867,0.69515654552582,0.7851906558470321,0.9507353448968484,0.758014705882353
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, max_features='log2', random_state=0, class_weight='balanced')",0.8333088235294117,0.8332867991116311,0.783612792522976,0.8386208548421833,0.9715473204041212,0.8333088235294117
"RandomForestLearner(n_estimators=100, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8444117647058823,0.8427755650878489,0.7963284579063218,0.8418616227836575,0.9736775960528086,0.8444117647058823
"RandomForestLearner(n_estimators=100, max_depth=5, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.758014705882353,0.7570635659892867,0.69515654552582,0.7851906558470321,0.9507353448968484,0.758014705882353
"RandomForestLearner(n_estimators=100, max_depth=15, min_samples_split=5, max_features=5, random_state=0, class_weight='balanced')",0.8333088235294117,0.8332867991116311,0.783612792522976,0.8386208548421833,0.9715473204041212,0.8333088235294117
"RandomForestLearner(n_estimators=200, min_samples_split=5, random_state=0, class_weight='balanced')",0.8497058823529412,0.8484327284180274,0.8033734436885225,0.8479148114629451,0.9760897738474926,0.8497058823529412
"RandomForestLearner(n_estimators=200, max_depth=5, min_samples_split=5, random_state=0, class_weight='balanced')",0.7775,0.778299867941678,0.7174670940056591,0.8022248120163734,0.956978153997745,0.7775
