Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.9213480392156863,0.9286029411764706,0.9508764829383047,0.9305011437332906,0.8264124226830587,0.9823603198661998,0.9818954746972319,0.9286029411764706
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.9216666666666666,0.9288051470588236,0.9510248985217689,0.9306885063217584,0.8267975485422675,0.9823149865468509,0.9818827656430219,0.9288051470588236
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.921813725490196,0.9288786764705882,0.9510804283781562,0.9307550387283346,0.8269163979796086,0.9822664472825093,0.981877640210496,0.9288786764705882
"LogisticRegressionLearner(C=3.0, class_weight='balanced', random_state=0, max_iter=10000)",0.9219117647058823,0.9289338235294118,0.9511214504260753,0.9308055731087236,0.8270139961965477,0.9822426489789523,0.9818760650951556,0.9289338235294118
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.9214705882352942,0.9287316176470588,0.9509668770314536,0.9306245052560159,0.8267124802122797,0.9824139643053124,0.9818955828287197,0.9287316176470588
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.9217892156862745,0.9288970588235295,0.9510912171560074,0.9307748307171773,0.8269880352100264,0.9823172961395811,0.9818819222174162,0.9288970588235295
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=10000)",0.9219117647058823,0.9289705882352941,0.9511455014413595,0.9308426322073154,0.827123729964508,0.9822939517392667,0.9818767805651674,0.9289705882352941
"LogisticRegressionLearner(penalty='l1', C=3.0, class_weight='balanced', random_state=0, max_iter=10000)",0.9219607843137255,0.9289705882352941,0.9511479720845555,0.9308401064536671,0.8270902493298931,0.9822435763526217,0.9818755028114187,0.9289705882352941
"RandomForestLearner(n_estimators=50, random_state=0, class_weight='balanced')",0.964485294117647,0.9484926470588235,0.9656213191990577,0.9485528885786602,0.8629789942884974,0.9667600235849056,0.9848189158016147,0.9484926470588235
"RandomForestLearner(n_estimators=50, max_depth=10, random_state=0, class_weight='balanced')",0.9400735294117647,0.943860294117647,0.9617120505491199,0.9449890937046488,0.8599359684143626,0.9843701878657222,0.9850794622260668,0.943860294117647
"RandomForestLearner(n_estimators=50, max_depth=20, random_state=0, class_weight='balanced')",0.9599509803921569,0.9492463235294117,0.9659526716239379,0.9495520267265795,0.8665791968139974,0.9720298811207903,0.984795279159458,0.9492463235294117
"RandomForestLearner(n_estimators=100, random_state=0, class_weight='balanced')",0.9652205882352941,0.9494301470588236,0.9662507820838394,0.9494837768183125,0.8654418378109381,0.9672831773634957,0.9855395599048442,0.9494301470588236
"RandomForestLearner(n_estimators=100, max_depth=10, random_state=0, class_weight='balanced')",0.9403186274509804,0.9442279411764706,0.961962790231182,0.9453493484937475,0.8608776416167436,0.9846268350272046,0.9853000684832757,0.9442279411764706
"RandomForestLearner(n_estimators=100, max_depth=20, random_state=0, class_weight='balanced')",0.9600245098039216,0.9493382352941176,0.9660147483167681,0.9496428016548142,0.8668171107499508,0.9720802104531692,0.9854147851787773,0.9493382352941176
"RandomForestLearner(n_estimators=200, random_state=0, class_weight='balanced')",0.9653186274509804,0.9491176470588235,0.9660526380338001,0.9491561610871578,0.864523583196276,0.9667877657224213,0.9858299875648789,0.9491176470588235
"RandomForestLearner(n_estimators=200, max_depth=10, random_state=0, class_weight='balanced')",0.9411029411764706,0.9448529411764706,0.9624031882096398,0.9459456718577746,0.8622789963972889,0.9846899523003539,0.9854124621539792,0.9448529411764706
"RandomForestLearner(n_estimators=200, max_depth=20, random_state=0, class_weight='balanced')",0.9597303921568627,0.9494485294117647,0.9660761867166683,0.9497698599682771,0.8672357523164047,0.9725064573812835,0.9857817951629182,0.9494485294117647
