Learner,Recall(Sick),Recall(weighted),F1(Sick),F1(weighted),MCC,Precision(Sick),AUC,CA
"LogisticRegressionLearner(C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.9169607843137255,0.9261029411764706,0.9490132413373243,0.9282107255015912,0.8220188611713737,0.9833876563978551,0.9817639561707034,0.9261029411764706
"LogisticRegressionLearner(C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.9172549019607843,0.9263235294117647,0.9491731764228467,0.9284174190523741,0.8224687140733039,0.983392894681522,0.9817520761245676,0.9263235294117647
"LogisticRegressionLearner(class_weight='balanced', random_state=0, max_iter=10000)",0.9172549019607843,0.9263235294117647,0.9491731764228467,0.9284174190523741,0.8224687140733039,0.983392894681522,0.981745444059977,0.9263235294117647
"LogisticRegressionLearner(C=3.0, class_weight='balanced', random_state=0, max_iter=10000)",0.9173529411764706,0.9263970588235294,0.9492264773015471,0.9284863242420254,0.8226187572289474,0.9833946400420389,0.9817434832756631,0.9263970588235294
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced', random_state=0, max_iter=10000)",0.917156862745098,0.92625,0.9491198701364582,0.9283485175348933,0.8223187170309483,0.9833911489540629,0.9817714244521338,0.92625
"LogisticRegressionLearner(penalty='l1', C=0.3, class_weight='balanced', random_state=0, max_iter=10000)",0.9175490196078432,0.9265441176470588,0.9493330628391743,0.9286241456527002,0.8229189819949719,0.9833981296627088,0.981750865051903,0.9265441176470588
"LogisticRegressionLearner(penalty='l1', class_weight='balanced', random_state=0, max_iter=10000)",0.9173529411764706,0.9263235294117647,0.9491783323189288,0.928412343573777,0.8223983967983038,0.9832912988650694,0.9817439734717417,0.9263235294117647
"LogisticRegressionLearner(penalty='l1', C=3.0, class_weight='balanced', random_state=0, max_iter=10000)",0.917156862745098,0.9261764705882353,0.9490717256771837,0.9282745396492851,0.8220983160935366,0.9832877864200126,0.9817396770472895,0.9261764705882353
"RandomForestLearner(n_estimators=50, random_state=0, class_weight='balanced')",0.9631372549019608,0.9483823529411765,0.9655036855036855,0.9485073261715596,0.8630654651280456,0.9678817733990148,0.9843859717416379,0.9483823529411765
"RandomForestLearner(n_estimators=50, max_depth=10, random_state=0, class_weight='balanced')",0.9329411764705883,0.9385294117647058,0.9579222870948259,0.9399365325606176,0.8483840497627779,0.9842780306164667,0.984841551326413,0.9385294117647058
"RandomForestLearner(n_estimators=50, max_depth=20, random_state=0, class_weight='balanced')",0.9559803921568627,0.9471323529411765,0.9644429058899164,0.9475763404720298,0.8619639194242209,0.973056581179523,0.9844765138408303,0.9471323529411765
"RandomForestLearner(n_estimators=100, random_state=0, class_weight='balanced')",0.9643137254901961,0.9496323529411764,0.9663506410571302,0.9497374072140079,0.8662806556922039,0.9683961799744019,0.9853027249134947,0.9496323529411764
"RandomForestLearner(n_estimators=100, max_depth=10, random_state=0, class_weight='balanced')",0.9350980392156862,0.9407352941176471,0.9594608188311035,0.9420607685371019,0.8535957883934041,0.9851270398677959,0.9853011245674741,0.9407352941176471
"RandomForestLearner(n_estimators=100, max_depth=20, random_state=0, class_weight='balanced')",0.9562745098039216,0.9480882352941177,0.9650737112892055,0.9485404681219285,0.8646025293244215,0.9740363491112443,0.9852604094579008,0.9480882352941177
"RandomForestLearner(n_estimators=200, random_state=0, class_weight='balanced')",0.9649019607843137,0.9489705882352941,0.9659436647364805,0.9490253240434188,0.8642224457313971,0.9669876203576341,0.9856721453287198,0.9489705882352941
"RandomForestLearner(n_estimators=200, max_depth=10, random_state=0, class_weight='balanced')",0.9357843137254902,0.9411029411764706,0.9597305313961088,0.9424001697196085,0.8542747641752434,0.9849344752863481,0.9854573817762398,0.9411029411764706
"RandomForestLearner(n_estimators=200, max_depth=20, random_state=0, class_weight='balanced')",0.956764705882353,0.9483088235294118,0.9652341625043271,0.9487429309483127,0.8650489038131679,0.9738549047001297,0.9853473039215687,0.9483088235294118
"RandomForestLearner(n_estimators=50, min_samples_split=5, random_state=0, class_weight='balanced')",0.9598039215686275,0.9491176470588235,0.9658642462509865,0.949427053048517,0.866261506573419,0.9720015885623511,0.9852904555940023,0.9491176470588235
"RandomForestLearner(n_estimators=50, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.9330392156862745,0.9388970588235294,0.9581676315127108,0.9403026152500749,0.8494092497543854,0.9846870150025867,0.9848940888119954,0.9388970588235294
"RandomForestLearner(n_estimators=50, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.9545098039215686,0.9466911764705882,0.9641035797395653,0.9471959198467989,0.861273292043266,0.9738921676502951,0.9847858708189158,0.9466911764705882
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=0, class_weight='balanced')",0.9603921568627451,0.9488970588235294,0.9657416079262582,0.9491724000717008,0.8654264817292157,0.971150986418162,0.9857493367935408,0.9488970588235294
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.9357843137254902,0.9408823529411765,0.9595858047652559,0.9421777193007418,0.8536260854495871,0.9846296678357747,0.9854888119953864,0.9408823529411765
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.9540196078431372,0.9476470588235294,0.9647070486765144,0.948195814546099,0.8642309184252173,0.9756366553037898,0.9855035322952709,0.9476470588235294
"RandomForestLearner(n_estimators=200, min_samples_split=5, random_state=0, class_weight='balanced')",0.9599019607843138,0.94875,0.9656294689087234,0.949045104137835,0.865173427514904,0.9714257366802262,0.9859869521337947,0.94875
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=5, random_state=0, class_weight='balanced')",0.9353921568627451,0.9405882352941176,0.9593765711412771,0.9418990494229892,0.852990226901675,0.9846233230134159,0.98548699538639,0.9405882352941176
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=5, random_state=0, class_weight='balanced')",0.955,0.9477205882352941,0.964789778636161,0.948224844323917,0.8640451548385871,0.9747823476433504,0.9856595732410612,0.9477205882352941
"RandomForestLearner(n_estimators=50, min_samples_split=10, random_state=0, class_weight='balanced')",0.9531372549019608,0.9475,0.9645798194265304,0.9480869520450468,0.8641734009002707,0.9763004619401486,0.9853269031141869,0.9475
"RandomForestLearner(n_estimators=50, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9346078431372549,0.9405882352941176,0.9593438663580558,0.9419348721955142,0.853452903938614,0.9854248501137068,0.9850880334486738,0.9405882352941176
"RandomForestLearner(n_estimators=50, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9504901960784313,0.9465441176470588,0.9638614107471293,0.9472360270000617,0.8625574083876935,0.9776141978420894,0.9855091839677048,0.9465441176470588
"RandomForestLearner(n_estimators=100, min_samples_split=10, random_state=0, class_weight='balanced')",0.9532352941176471,0.9472058823529412,0.9643919857171196,0.9477823349387777,0.8632827945033833,0.9758129265355279,0.9857811130334487,0.9472058823529412
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9347058823529412,0.9407352941176471,0.959444500352219,0.9420785977593866,0.8538276362784334,0.9855282199710564,0.9854694925028835,0.9407352941176471
"RandomForestLearner(n_estimators=100, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9503921568627451,0.9468382352941176,0.964049525135498,0.9475398945922074,0.8634532684719897,0.9781051357077994,0.9858380190311418,0.9468382352941176
"RandomForestLearner(n_estimators=200, min_samples_split=10, random_state=0, class_weight='balanced')",0.9541176470588235,0.9483088235294118,0.9651410720483959,0.9488664680488094,0.8660996977440654,0.9764221932376843,0.9859268454440601,0.9483088235294118
"RandomForestLearner(n_estimators=200, max_depth=10, min_samples_split=10, random_state=0, class_weight='balanced')",0.9355882352941176,0.94125,0.9598189590143325,0.9425573156380562,0.8548218837200052,0.9853381517811048,0.9854929065743945,0.94125
"RandomForestLearner(n_estimators=200, max_depth=20, min_samples_split=10, random_state=0, class_weight='balanced')",0.9500980392156863,0.9463970588235294,0.9637511809457511,0.9471045410203587,0.8623074718091936,0.9778024417314095,0.9858921280276817,0.9463970588235294
