Learner,CA,AUC,Precision(average=macro),Recall(average=macro),F1(average=macro),MCC
"LogisticRegressionLearner(C=0.1, class_weight='balanced')",0.8036764705882353,0.9700549831548463,0.7416727755597669,0.7487976055806939,0.7429804373642686,0.7463107239487732
"LogisticRegressionLearner(C=1, class_weight='balanced')",0.8035294117647059,0.9701045351920177,0.7415212542110159,0.7490317056309704,0.7430141330123279,0.7461796505897645
"LogisticRegressionLearner(C=5, class_weight='balanced')",0.8036764705882353,0.970109422690133,0.7418566222477322,0.7493213717110776,0.7433370061828383,0.7463265708158785
"LogisticRegressionLearner(C=10, class_weight='balanced')",0.8036029411764706,0.9701083859481086,0.7418167445692876,0.7492723521032344,0.7432952288690031,0.7462252507649331
"LogisticRegressionLearner(penalty='l1', C=0.1, class_weight='balanced')",0.8033823529411764,0.9701707949969172,0.7412163622607357,0.7482085847159375,0.7424930447548692,0.7459220909911777
"LogisticRegressionLearner(penalty='l1', C=1, class_weight='balanced')",0.8031617647058824,0.9701276256232301,0.7411363575439612,0.7486575645215351,0.7426501945461711,0.7456746165038247
"LogisticRegressionLearner(penalty='l1', C=5, class_weight='balanced')",0.8036029411764706,0.9701100292194806,0.7418176069610936,0.7492944528238645,0.7432869269027301,0.7462460825769763
"LogisticRegressionLearner(penalty='l1', C=10, class_weight='balanced')",0.8036764705882353,0.9701139857655743,0.7416688814763398,0.7490980601642366,0.7431570024746131,0.746319820248438
"RandomForestLearner(random_state=42, class_weight='balanced')",0.8181617647058823,0.9593905468987676,0.7485838550790952,0.7318983576336517,0.7380505412382447,0.7617196440900005
"RandomForestLearner(min_samples_split=5, random_state=42, class_weight='balanced')",0.8259558823529412,0.9639391608466179,0.7625603525741093,0.7537633547008546,0.7579078975291978,0.7723231841561959
"RandomForestLearner(max_depth=10, random_state=42, class_weight='balanced')",0.7978676470588235,0.9631238196656787,0.7480267173299827,0.7503063725490197,0.7404365492516817,0.7406939478482228
"RandomForestLearner(max_depth=10, min_samples_split=5, random_state=42, class_weight='balanced')",0.803235294117647,0.9652005973101015,0.7580709642937434,0.7600601747109099,0.7482005379933928,0.7485216010828065
"RandomForestLearner(max_features=5, random_state=42, class_weight='balanced')",0.8031617647058824,0.9530753598044932,0.7332735182240184,0.7112306749622926,0.7185251367058223,0.7417384778811514
"RandomForestLearner(min_samples_split=5, max_features=5, random_state=42, class_weight='balanced')",0.8140441176470589,0.9604896486034138,0.7464229822833811,0.7388641695994637,0.742221119608285,0.7568576308821501
"RandomForestLearner(max_depth=10, max_features=5, random_state=42, class_weight='balanced')",0.7849264705882353,0.9592506643047943,0.7304613403950966,0.7314530438243673,0.7241487629165632,0.7230102145835466
"RandomForestLearner(max_depth=10, min_samples_split=5, max_features=5, random_state=42, class_weight='balanced')",0.7968382352941177,0.9615015969776671,0.7467203744121313,0.7452227354617059,0.7391458379252405,0.7379754613082682
"RandomForestLearner(max_features=10, random_state=42, class_weight='balanced')",0.8302205882352941,0.9610891746529184,0.7660059286373815,0.7506466817496228,0.7568205782713343,0.7776102808209715
"RandomForestLearner(min_samples_split=5, max_features=10, random_state=42, class_weight='balanced')",0.8336029411764706,0.9664634196226181,0.7671422993545813,0.7588079227417462,0.762774754338499,0.7823363702126969
"RandomForestLearner(max_depth=10, max_features=10, random_state=42, class_weight='balanced')",0.8222794117647059,0.9690467550623477,0.7784365398681996,0.7707090560583207,0.7657924719549528,0.7698451253097526
"RandomForestLearner(max_depth=10, min_samples_split=5, max_features=10, random_state=42, class_weight='balanced')",0.8186029411764706,0.9692219891488231,0.7716576784720487,0.762700058655941,0.7585086256089822,0.7650333594858851
"RandomForestLearner(n_estimators=100, random_state=42, class_weight='balanced')",0.841764705882353,0.9750109556126589,0.7816825323641021,0.7643486571979219,0.7718393267119265,0.7926305872838108
"RandomForestLearner(n_estimators=100, min_samples_split=5, random_state=42, class_weight='balanced')",0.8446323529411764,0.975296930673752,0.7872593223097081,0.7757898650913356,0.7809367505577223,0.7967379193847816
"RandomForestLearner(n_estimators=100, max_depth=10, random_state=42, class_weight='balanced')",0.8106617647058824,0.9690153565896057,0.7700618894662191,0.7626489965644376,0.7542881008965289,0.7559043520759733
"RandomForestLearner(n_estimators=100, max_depth=10, min_samples_split=5, random_state=42, class_weight='balanced')",0.8165441176470588,0.9694424308297005,0.7733740985333332,0.7683869092508798,0.7593970288854752,0.7640192056919458
